Taxa	Avg_Protein_Length	Proportion_Helix	Proportion_Beta.sheet	Proportion_Secondary_Structure	Mean_BS_AA	Mean_BS_3di	Mean_BS_Part	IC_AA	TCA_AA	IC_3di	TCA_3di	IC_Part	TCA_Part	Mean_sCF_AA	Mean_sCF_3di	Mean_sCF_Part	OlderNode_BS_AA	YoungerNode_BS_AA	OlderNode_BS_3di	YoungerNode_BS_3di	OlderNode_BS_Part	YoungerNode_BS_Part	Alphabet_AA	Alphabet_3di
IC_3di	-0.441635544221559	0.494471002857508	-0.700796266516925	0.756132462204677	-0.365523660104498	0.949134933446978	0.653912780524155	0.815326905692476	0.639379888493366	0.632621628742778	1	0.994355792325042	0.782745697372606	0.785547894656152	0.46305328263111	0.560945667144532	0.536767298441835	0.941425607540556	0.824014854050625	0.497371016786461	0.641569635969491	0.846400210342218	0.591154663688043	0.356044219320015	0.592338203811621
TCA_3di	-0.466400153222802	0.477914594364034	-0.725088853350304	0.781980445131619	-0.379222780648217	0.954661562477723	0.657846309318201	0.813775698846842	0.637874202823938	0.628130947394434	0.994355792325042	1	0.782363181309771	0.789887855915888	0.451299439889243	0.544520515641634	0.491715666563277	0.945083336507657	0.818157689718001	0.505109321591146	0.638344709465495	0.835720171101095	0.612489552311368	0.289066152058717	0.570079426841974
IC_Part	-0.454727379422677	0.509285309908182	-0.634017463962166	0.631220729026542	-0.460676553271814	0.747149440062484	0.873315806952212	0.993211271019862	0.883464291063371	0.879864060984502	0.782745697372606	0.782363181309771	1	0.99791963751847	0.466082510882717	0.328533665935761	0.347018824820484	0.684814367777053	0.702379565344893	0.76262567312093	0.816929667654481	0.954655862519835	0.883570680582786	0.501974645032696	0.558571692569946
TCA_Part	-0.480387836124004	0.502293406057783	-0.619808494857473	0.621959291926673	-0.438163304539831	0.760606921985228	0.881304777192512	0.988125300334785	0.885782492935969	0.879805281891392	0.785547894656152	0.789887855915888	0.99791963751847	1	0.433087181057511	0.326077530760688	0.315066758076033	0.689357686094762	0.713712259998856	0.771791150255804	0.821272456825756	0.944406306218495	0.892861867179308	0.451390763495793	0.523522612050829
Mean_sCF_AA	-0.115803877444946	0.125224629707341	-0.716562197865057	0.570731339882127	-0.873709156308083	0.431462509086993	0.0200343173469317	0.5172540862533	0.065959372825404	0.0767362499389471	0.46305328263111	0.451299439889243	0.466082510882717	0.433087181057511	1	-0.120835173707635	0.225352562086589	0.450030638296109	0.442390552701386	-0.00929301620552297	-0.0116455699813454	0.607068081202176	0.184571544285223	0.729034981083589	0.576566667074666
Mean_sCF_3di	-0.32046614058622	0.124913873798752	-0.40267119551502	0.579077263525138	0.144423111767973	0.472956878313473	0.503556047734517	0.362167122734423	0.497383353430627	0.498380110839411	0.560945667144532	0.544520515641634	0.328533665935761	0.326077530760688	-0.120835173707635	1	0.804036252714185	0.477996458041446	0.381360321545406	0.309232331657898	0.597725230625903	0.302898697691293	0.458213250467416	-0.0669457172677807	0.416865731162725
Mean_sCF_Part	0.0807895856825112	0.243583653765168	-0.560846257805572	0.637814672889989	-0.212882385077574	0.319872027371719	0.368033551589275	0.398048793018278	0.41694822765944	0.448377271928605	0.536767298441835	0.491715666563277	0.347018824820484	0.315066758076033	0.225352562086589	0.804036252714185	1	0.378934100097792	0.3072339043662	0.107048282861593	0.541497763919194	0.378497788777832	0.36843950345922	0.385627955248339	0.660196517574512
OlderNode_BS_AA	-0.438549041855385	0.551576879323866	-0.656628165100617	0.724133089102352	-0.305792394701657	0.922779383593498	0.585583007887111	0.720211314480588	0.557213585818932	0.539132226679442	0.941425607540556	0.945083336507657	0.684814367777053	0.689357686094762	0.450030638296109	0.477996458041446	0.378934100097792	1	0.679693721469255	0.545929303516303	0.483748892476299	0.784312751383594	0.445308949544546	0.297437248134063	0.609931949533426
YoungerNode_BS_AA	-0.715617073818632	0.0316688335185975	-0.472368894423927	0.491363217252366	-0.289043024919953	0.900374841282108	0.465228540105743	0.729978697729626	0.438894902979999	0.425306268833494	0.824014854050625	0.818157689718001	0.702379565344893	0.713712259998856	0.442390552701386	0.381360321545406	0.3072339043662	0.679693721469255	1	0.247494762483773	0.515782619211433	0.748141422997811	0.546351485639219	0.22897092188298	0.158199396555269
OlderNode_BS_3di	-0.297299842419229	0.697663828783086	-0.284245492512725	0.348257544230749	-0.0476313669940412	0.47150814470633	0.906941159112768	0.715567340022171	0.896554061055906	0.880618746292796	0.497371016786461	0.505109321591146	0.76262567312093	0.771791150255804	-0.00929301620552297	0.309232331657898	0.107048282861593	0.545929303516303	0.247494762483773	1	0.717166799681047	0.650717484666009	0.739052850532436	0.225141532964534	0.470841940544589
YoungerNode_BS_3di	-0.316005046370031	0.453759353796986	-0.416129476268107	0.5166382895554	-0.0495252018268542	0.54293529749995	0.941520332456783	0.808507797856796	0.944806670235831	0.948336837562848	0.641569635969491	0.638344709465495	0.816929667654481	0.821272456825756	-0.0116455699813454	0.597725230625903	0.541497763919194	0.483748892476299	0.515782619211433	0.717166799681047	1	0.716116601256658	0.869361132333433	0.202758813107376	0.402762721121682
OlderNode_BS_Part	-0.463053791382519	0.488911267683494	-0.66314634838004	0.661489342431008	-0.479345925333083	0.816295670754173	0.76738535469659	0.975843104047917	0.775213201369634	0.770055610205992	0.846400210342218	0.835720171101095	0.954655862519835	0.944406306218495	0.607068081202176	0.302898697691293	0.378497788777832	0.784312751383594	0.748141422997811	0.650717484666009	0.716116601256658	1	0.722832899199889	0.600036048334218	0.597719070431693
YoungerNode_BS_Part	-0.427931751092738	0.347557064096745	-0.581603763516874	0.607422772403526	-0.352467064809757	0.548117621718286	0.880508270247141	0.855980058159448	0.890834044055062	0.889855954003721	0.591154663688043	0.612489552311368	0.883570680582786	0.892861867179308	0.184571544285223	0.458213250467416	0.36843950345922	0.445308949544546	0.546351485639219	0.739052850532436	0.869361132333433	0.722832899199889	1	0.197827631484386	0.43109993991607
Alphabet_AA	0.206204471958497	0.467073575216878	-0.400072802405253	0.275255089481296	-0.59423278030199	0.213519508595023	0.230057935561782	0.518366064124078	0.305982364505623	0.335611452244217	0.356044219320015	0.289066152058717	0.501974645032696	0.451390763495793	0.729034981083589	-0.0669457172677807	0.385627955248339	0.297437248134063	0.22897092188298	0.225141532964534	0.202758813107376	0.600036048334218	0.197827631484386	1	0.67154952896549
Alphabet_3di	0.187897600595862	0.682545174899079	-0.783278118712948	0.76306045095332	-0.614182487412468	0.382537031457981	0.468333875235002	0.582888412349687	0.525663166063752	0.547547306013988	0.592338203811621	0.570079426841974	0.558571692569946	0.523522612050829	0.576566667074666	0.416865731162725	0.660196517574512	0.609931949533426	0.158199396555269	0.470841940544589	0.402762721121682	0.597719070431693	0.43109993991607	0.67154952896549	1
