Taxa	Avg_Protein_Length	Proportion_Helix	Proportion_Beta.sheet	Proportion_Secondary_Structure	Mean_BS_AA	Mean_BS_3di	Mean_BS_Part	IC_AA	TCA_AA	IC_3di	TCA_3di	IC_Part	TCA_Part	Mean_sCF_AA	Mean_sCF_3di	Mean_sCF_Part	OlderNode_BS_AA	YoungerNode_BS_AA	OlderNode_BS_3di	YoungerNode_BS_3di	OlderNode_BS_Part	YoungerNode_BS_Part	Alphabet_AA	Alphabet_3di
IC_3di	4.18910045918599e-05	0.00440390357011199	7.59784917696083e-10	8.61957366400208e-12	0.000157861807466672	2.50690653265618e-17	3.68632751780775e-06	8.2473995986657e-12	3.63495597608839e-06	4.32561396024505e-06	0	7.99215572694135e-34	1.5866504599305e-10	1.76581078360677e-10	6.97409084968509e-05	0.000124614100321569	0.000146463373768068	2.74114164904639e-20	1.18637197584164e-11	0.000183203073282515	3.4993729236197e-06	4.46479658558809e-13	1.74147614133633e-07	0.00680443305730077	1.64183852360989e-05
TCA_3di	2.67270489443554e-05	0.00474749459823043	1.14435241389342e-09	1.14039626541359e-11	0.000205947695957769	5.34983235553062e-18	2.55087561008997e-06	6.65752065865994e-12	2.73229159712982e-06	3.40568746789527e-06	7.99215572694135e-34	0	1.19051747124419e-10	1.14957231684447e-10	0.000102919277443395	0.000119535001833915	0.000220698573255274	2.30887178968484e-20	9.08298482161836e-12	0.000137934006096932	2.60855232348232e-06	5.61670477835237e-13	1.06709649559598e-07	0.00977676314655746	2.51959314126014e-05
IC_Part	0.00012106861595317	0.000384228915557278	1.97431758884947e-07	6.62046707137037e-08	0.000225999029408959	2.07496166841946e-09	1.33155476271938e-10	1.50856911920491e-28	3.71307018896877e-11	4.25500562688538e-11	1.5866504599305e-10	1.19051747124419e-10	0	7.3241685833522e-34	0.000457419554806749	0.0034549616378153	0.00371332031482831	4.32995483265978e-09	3.94117608638573e-08	3.92266958550457e-08	1.48806066706046e-09	4.21827850715703e-19	3.49206482410636e-14	0.00211210367465653	4.04321575636934e-05
TCA_Part	6.24593939899221e-05	0.00050172252210756	4.83387604361968e-07	1.34599336651528e-07	0.000445655472535309	1.2279135640486e-09	4.29998488549806e-11	1.53594560281568e-25	1.66962691294078e-11	2.37728338925157e-11	1.76581078360677e-10	1.14957231684447e-10	7.3241685833522e-34	0	0.000823495080761028	0.00303886558161601	0.00516723710936369	4.46085619575497e-09	2.56932131055558e-08	1.98397860382671e-08	6.5711592945222e-10	5.68450093012087e-18	1.07585319192791e-14	0.00396173640734533	8.87942714713182e-05
Mean_sCF_AA	0.173897923314028	0.0395341578287898	2.07486864428968e-08	3.78444386520723e-06	1.59676371555851e-15	0.000415306714807496	0.139288327106478	0.000170910103321536	0.0922962004007655	0.0812316199770456	6.97409084968509e-05	0.000102919277443395	0.000457419554806749	0.000823495080761028	0	0.468351040091628	0.00678268388195026	7.19685924167407e-05	0.000497607717300866	0.249670720686727	0.166863496124599	1.6812951792378e-05	0.0214278109343898	5.96718273467947e-09	2.0869591497779e-06
Mean_sCF_3di	0.00258577922789091	0.227287836477956	0.00271575659664596	0.00011273755016019	0.431593356767856	0.000374760579873896	0.000326171032436173	0.00234100547880145	0.000451833939423364	0.00048382885112187	0.000124614100321569	0.000119535001833915	0.0034549616378153	0.00303886558161601	0.468351040091628	0	1.26300858810835e-06	0.000443479965775643	0.00126173584582888	0.00972688688944979	2.06273236692402e-05	0.00549922962757666	0.000298053040861983	0.997016607164421	0.0193368101642297
Mean_sCF_Part	0.278957739009577	0.0414352927022593	2.68867765335556e-06	3.11906558333994e-07	0.00276630901661687	0.00361866559502849	0.0121058812439233	0.00182363655867836	0.00661850278333647	0.00465098317718876	0.000146463373768068	0.000220698573255274	0.00371332031482831	0.00516723710936369	0.00678268388195026	1.26300858810835e-06	0	0.000662103930739517	0.0086913383412405	0.102541628602998	0.00220936585602606	0.00216434283457719	0.00277229099493986	0.0146753472165611	2.29074590217199e-06
OlderNode_BS_AA	9.68865187787596e-05	0.00221396122591859	4.29766015334702e-09	1.38684528619289e-10	0.000210005164516007	9.90995355286817e-16	1.51672297941312e-05	5.28954323888116e-10	1.69067473238442e-05	2.12104992520826e-05	2.74114164904639e-20	2.30887178968484e-20	4.32995483265978e-09	4.46085619575497e-09	7.19685924167407e-05	0.000443479965775643	0.000662103930739517	0	8.63496922679482e-10	0.00021534220953225	3.34262917651426e-05	2.12305380427053e-11	2.7935201367517e-06	0.00782130360388147	1.59887479487572e-05
YoungerNode_BS_AA	4.91028797289379e-09	0.18655909261043	7.3827837367011e-06	1.50684332328754e-06	0.00300678132387527	1.71650281353526e-16	8.93317470158502e-05	7.45297972033456e-09	0.000145624173552139	0.000210547839797154	1.18637197584164e-11	9.08298482161836e-12	3.94117608638573e-08	2.56932131055558e-08	0.000497607717300866	0.00126173584582888	0.0086913383412405	8.63496922679482e-10	0	0.00278992501320542	5.18531791149535e-05	1.47639374361318e-09	3.80192487193203e-06	0.0549995490789483	0.00973165069484641
OlderNode_BS_3di	0.00388883495712156	1.15297648856757e-05	0.00612996008225811	0.0021184220095672	0.124898177721591	0.000318369399441529	3.21160766830759e-15	3.11529643907089e-07	8.76861317505117e-15	3.58495557847753e-14	0.000183203073282515	0.000137934006096932	3.92266958550457e-08	1.98397860382671e-08	0.249670720686727	0.00972688688944979	0.102541628602998	0.00021534220953225	0.00278992501320542	0	2.70426051591331e-10	4.60625731175602e-06	7.78870878920092e-10	0.13411588500219	0.00631811852195827
YoungerNode_BS_3di	0.000270980012210129	0.00177383738468323	0.000552917914278966	5.74117019615553e-05	0.0874385037577031	1.15594469924418e-05	1.16922186579865e-18	5.99702066583256e-09	4.55381835474898e-18	1.41077596998036e-17	3.4993729236197e-06	2.60855232348232e-06	1.48806066706046e-09	6.5711592945222e-10	0.166863496124599	2.06273236692402e-05	0.00220936585602606	3.34262917651426e-05	5.18531791149535e-05	2.70426051591331e-10	0	4.16752712016187e-07	1.19960342594716e-15	0.179841212571606	0.0038393522182965
OlderNode_BS_Part	0.000134558692452876	0.000784807194551165	4.78158631814901e-09	3.13911180477577e-09	1.91463039859676e-05	2.69751012082803e-11	1.06751973397736e-07	1.80628692514927e-22	4.93382593517189e-08	5.2256610976761e-08	4.46479658558809e-13	5.61670477835237e-13	4.21827850715703e-19	5.68450093012087e-18	1.6812951792378e-05	0.00549922962757666	0.00216434283457719	2.12305380427053e-11	1.47639374361318e-09	4.60625731175602e-06	4.16752712016187e-07	0	5.99804584795705e-10	0.000406471066993451	9.0909568558072e-06
